RamanShift,0.625 mg/mL IgG1,1.25 mg/mL IgG1,2.5 mg/mL IgG1,5 mg/mL IgG1,10 mg/mL IgG1
3425,1148563.488,1198165.702,1206325.744,1195576.347,1145206.568
3424,1147939.547,1200700.777,1209881.628,1200249.487,1143337.351
3423,1146370.469,1203749.02,1208789.471,1202838.24,1141521.697
3422,1146941.245,1207620.02,1206416.272,1204755.062,1142453.918
3421,1149270.003,1207036.815,1206870.556,1207518.608,1146454.739
3420,1151020.458,1202523.303,1210572.212,1210860.394,1151460.412
3419,1152588.026,1201949.196,1214764.209,1210049.996,1153391.413
3418,1152704.622,1205438.81,1216319.624,1204616.249,1150386.364
3417,1150840.01,1206759.138,1214491.418,1201500.448,1146095.797
3416,1150839.957,1205196.988,1211307.781,1203258.972,1145880.594
3415,1152592.287,1203549.531,1210297.398,1206149.892,1148898.835
3414,1152984.444,1202090.575,1213282.516,1208476.203,1150068.33
3413,1152987.152,1200803.722,1217031.851,1210490.768,1150119.807
3412,1152575.413,1200940.618,1217790.431,1210816.017,1152598.664
3411,1151190.717,1201803.187,1215597.701,1208992.259,1155535.877
3410,1152004.246,1201722.113,1211323.329,1207012.212,1155444.117
3409,1153747.818,1201468.925,1207516.456,1206054.759,1152509.48
3408,1151680.512,1201169.975,1207679.471,1206989.362,1149717.565
3407,1147228.432,1199124.557,1210419.702,1210792.231,1149045.812
3406,1142639.737,1197180.475,1212098.857,1213516.861,1148351.725
3405,1138428.43,1198887.908,1211374.897,1210425.327,1145942.82
3404,1138742.783,1203143.993,1208209.176,1205826.008,1144303.581
3403,1143554.863,1206074.248,1204345.394,1206477.643,1145002.635
3402,1146146.647,1204865.428,1202206.184,1209314.458,1145365.156
3401,1145140.596,1200024.682,1201915.433,1207624.181,1143234.292
3400,1144176.839,1197056.002,1202531.142,1203889.402,1142058.191
3399,1144269.858,1198672.389,1203777.437,1204385.533,1144230.642
3398,1144325.281,1199324.508,1204232.477,1205826.065,1144526.274
3397,1142830.733,1196710.011,1202085.352,1201283.983,1140921.251
3396,1141280.413,1195475.46,1199880.795,1194434.813,1138408.844
3395,1143555.328,1195530.415,1201044.753,1193210.283,1137067.787
3394,1146708.545,1192952.013,1202509.609,1195911.427,1133527.802
3393,1144372.003,1187984.443,1200327.596,1196371.565,1129399.888
3392,1139411.26,1183524.647,1196955.693,1194185.308,1128294.777
3391,1138362.35,1182553.654,1196312.106,1191642.391,1130553.214
3390,1138932.624,1184460.295,1197656.091,1189852.998,1132574.963
3389,1136309.297,1184817.775,1197826.14,1189510.827,1132149.415
3388,1134222.983,1184143.702,1196713.542,1188890.076,1131543.136
3387,1137069.229,1185991.105,1195466.664,1186039.468,1131288.055
3386,1139800.142,1188218.8,1193251.641,1183270.8,1129071.704
3385,1137586.873,1187823.369,1191279.693,1182272.889,1124957.421
3384,1133644.11,1185126.372,1190003.961,1181051.55,1121457.925
3383,1130179.225,1180267.74,1185448.016,1178590.324,1120746.06
3382,1126024.822,1175444.512,1179323.867,1175498.342,1121458.31
3381,1123181.011,1174479.719,1177956.547,1174031.26,1120503.322
3380,1123004.588,1175212.409,1179660.23,1176649.567,1118928.005
3379,1122082.898,1172833.065,1179830.531,1179100.124,1118611.539
3378,1119269.312,1168838.675,1178527.588,1176052.384,1118534.243
3377,1117619.117,1165393.333,1175845.497,1171481.656,1118523.867
3376,1117692.325,1160317.035,1172000.258,1169744.56,1117720.838
3375,1117636.874,1155819.239,1169322.995,1168449.278,1114210.765
3374,1116931.192,1156518.627,1168333.951,1166451.024,1110172.992
3373,1114671.109,1158712.407,1166846.027,1164875.364,1108244.536
3372,1109285.492,1157584.517,1163554.165,1163202.901,1107598.278
3371,1102059.587,1155921.373,1160117.553,1160924.374,1107418.275
3370,1097601.408,1155934.68,1158669.374,1157686.914,1105990.846
3369,1098979.617,1155245.176,1158198.167,1153071.035,1101464.865
3368,1102395.075,1152561.313,1155969.083,1148125.578,1096901.037
3367,1101326.081,1148307.64,1151370.463,1144887.111,1095679.577
3366,1096755.667,1143716.807,1147345.893,1144745.234,1095864.856
3365,1095050.368,1141245.124,1147398.354,1145938.497,1094618.688
3364,1096267.851,1140318.056,1149531.241,1144229.103,1091758.994
3363,1094540.556,1137693.661,1148121.404,1139279.648,1088783.837
3362,1088576.983,1135092.537,1143368.481,1135706.533,1087587.334
3361,1082660.024,1135972.604,1140638.81,1135315.639,1088318.264
3360,1079560.781,1136902.827,1141269.664,1134138.728,1088974.84
3359,1079416.94,1134288.234,1142126.437,1129923.599,1087665.914
3358,1081511.746,1131625.847,1141471.208,1127058.628,1084370.708
3357,1083041.908,1130927.913,1139417.099,1129127.304,1080528.042
3356,1081268.582,1128709.381,1136217.215,1131940.606,1076925.141
3355,1077171.323,1124379.627,1132895.609,1130204.061,1073908.435
3354,1072837.601,1120755.487,1129673.698,1125058.304,1072533.717
3353,1068561.446,1117340.748,1125361.506,1119874.93,1071911.295
3352,1064888.668,1112663.469,1121185.708,1115500.862,1069592.578
3351,1062971.592,1108515.887,1119536.62,1112675.265,1066421.998
3350,1062093.007,1106129.613,1119233.372,1112367.427,1064603.209
3349,1060195.396,1104829.941,1117665.772,1112980.742,1062997.86
3348,1056340.059,1104866.166,1114110.226,1112266.984,1060206.604
3347,1051928.959,1105726.569,1109582.974,1110231.916,1057497.388
3346,1050236.509,1105843.755,1106086.313,1107863.352,1055401.241
3345,1051838.021,1105221.562,1103887.907,1105914.428,1053133.141
3344,1051993.21,1103359.156,1101751.572,1104295.415,1051622.48
3343,1048152.13,1099298.694,1100513.593,1101540.518,1051607.661
3342,1044168.886,1095301.855,1100505.475,1097104.703,1051453.61
3341,1042395.728,1093085.77,1099323.195,1092212.33,1050367.026
3340,1040733.099,1090228.929,1096508.77,1087715.772,1048759.549
3339,1038243.816,1085974.774,1093754.398,1084304.022,1046078.895
3338,1036175.497,1083180.645,1090942.903,1082448.554,1042696.072
3337,1035509.63,1082541.2,1087576.379,1081251.58,1039467.407
3336,1035331.335,1082082.225,1084571.833,1080548.819,1035618.803
3335,1032960.498,1080821.496,1082350.841,1080688.813,1031560.15
3334,1028378.057,1078518.67,1080423.56,1079610.152,1028532.963
3333,1025154.271,1075200.02,1078859.921,1076254.635,1025344.836
3332,1024490.09,1071878.708,1078182.404,1073767.483,1021775.319
3331,1024147.066,1069171.656,1077648.979,1073887.057,1020488.899
3330,1023176.047,1067032.231,1075588.891,1073550.109,1022166.239
3329,1022721.085,1065757.44,1072322.87,1070437.975,1024222.19
3328,1022773.423,1065214.736,1069530.679,1066399.481,1024147.736
3327,1021175.292,1065279.623,1067095.732,1063787.309,1021421.278
3326,1017252.437,1065852.508,1064974.451,1063020.708,1017566.61
3325,1013565.794,1064472.367,1065034.019,1063273.205,1014495.728
3324,1011464.327,1059248.811,1067159.558,1062366.317,1012746.761
3323,1009740.169,1053852.554,1068254.176,1059450.441,1011995.602
3322,1008849.325,1052822.341,1066686.646,1057755.171,1012026.556
3321,1009817.09,1054766.545,1063782.798,1058815.528,1012808.359
3320,1010342.084,1055806.054,1061310.557,1059185.227,1013823.214
3319,1008626.499,1055709.76,1059872.024,1058110.195,1013085.235
3318,1007516.787,1055861.467,1059214.405,1058627.98,1009392.423
3317,1008734.847,1055092.068,1058623.752,1059570.676,1005501.633
3316,1008227.305,1052272.733,1057225.67,1057471.67,1004144.098
3315,1003484.564,1048595.822,1055131.463,1053707.72,1003398.894
3314,998777.4582,1044244.369,1053419.287,1051164.036,1001199.005
3313,997400.1935,1039286.229,1052290.75,1048874.14,998542.5391
3312,996814.5117,1036779.112,1051043.235,1045353.988,995873.8832
3311,995283.0816,1037785.204,1049754.091,1042045.691,993460.5017
3310,994821.5986,1039062.225,1049065.6,1040526.721,992870.4299
3309,995772.4903,1039614.064,1048366.386,1040340.387,993050.3174
3308,995258.5025,1040924.665,1046079.669,1040036.695,990879.3151
3307,991923.1991,1041518.531,1042543.146,1038187.585,986717.9999
3306,988281.8163,1038759.547,1039834.678,1035141.654,983816.8396
3305,987160.6009,1033088.168,1038144.015,1032901.904,983676.0789
3304,987332.9491,1027665.346,1036295.292,1031443.55,984735.1366
3303,985216.3911,1025505.274,1034764.525,1029699.483,984438.4913
3302,981180.9762,1025854.389,1034538.85,1029163.81,982161.3568
3301,979828.518,1025328.728,1035044.687,1030368.006,979799.9182
3300,982055.4986,1023786.398,1034558.963,1030518.191,979105.1353
3299,982856.0588,1023188.002,1031902.554,1028506.467,979305.6679
3298,979928.7435,1022256.392,1028164.607,1026170.66,978588.2928
3297,977363.0257,1019506.454,1025569.786,1024855.837,977413.9525
3296,978205.8498,1017120.256,1024978.678,1024546.894,977264.6165
3295,980225.2264,1017156.788,1025941.621,1024045.899,977272.1676
3294,980181.0202,1019062.669,1027180.688,1022466.386,976655.022
3293,977493.0807,1021102.37,1027232.954,1021603.136,976984.6311
3292,974180.1542,1021223.678,1026243.288,1023024.887,978293.7303
3291,972823.7065,1018967.96,1025059.024,1024126.665,978263.8108
3290,973173.2036,1015948.156,1023228.743,1021567.499,976316.3809
3289,971940.9759,1013259.896,1020344.423,1016566.292,974139.6389
3288,967691.1563,1011396.424,1017417.366,1013349.842,973008.2934
3287,963586.2191,1010545.702,1015713.435,1013408.486,972260.8291
3286,963254.4467,1009158.939,1015296.747,1014043.237,970497.0762
3285,965766.9089,1006504.564,1014735.472,1012897.237,967947.4108
3284,967265.1124,1004537.122,1012945.646,1010791.063,965191.6687
3283,966365.8269,1003862.338,1011024.242,1009202.707,961483.1214
3282,964661.7006,1003133.673,1010194.909,1008464.106,957944.2151
3281,963273.5896,1002757.747,1009732.105,1008701.833,957712.9877
3280,962305.9171,1003692.265,1009261.382,1009218.49,960363.521
3279,961666.1869,1004811.401,1009651.84,1008108.056,961973.6342
3278,960525.4285,1004661.372,1010230.376,1005360.081,961314.8828
3277,958460.2395,1003036.858,1009395.6,1003517.954,960572.7425
3276,956734.8712,1000508.25,1007780.753,1003167.291,960214.1548
3275,956346.2289,998507.3926,1007323.065,1002267.685,958558.0177
3274,956499.6317,998391.085,1008280.569,1000646.192,956313.8478
3273,955821.7755,999280.0501,1008642.549,999785.7111,955434.8792
3272,953725.6228,999012.1289,1006633.231,999569.1769,954715.4951
3271,951028.1409,997271.9441,1003752.263,999553.0572,952801.9475
3270,949258.5542,995346.3706,1002450.007,999874.9827,951411.555
3269,948737.0768,993666.9955,1001650.789,999406.2745,951243.2754
3268,948475.4398,991839.2968,999423.3645,997597.42,951199.603
3267,947773.658,990149.5738,997050.6671,996441.5488,951695.2444
3266,946658.7105,989418.1222,996313.9193,996596.6409,952589.2801
3265,945706.9249,989370.5964,996733.8405,995457.9017,952109.5369
3264,945489.9711,988599.1444,997087.0222,992155.6628,950762.8067
3263,945430.6934,987247.1845,997000.3565,989935.7187,950291.4507
3262,944707.166,987268.076,996852.0421,990756.5318,950085.7453
3261,943683.4349,988609.5763,996322.8144,991968.4028,949433.3691
3260,942523.1815,988785.3728,994148.5839,991248.3435,949097.7015
3259,940803.8901,986722.6398,990441.03,989937.2346,948707.3931
3258,939167.3916,983652.8453,987047.7202,988849.8103,947292.0527
3257,938222.1329,981194.7196,985336.8587,986488.273,945594.5545
3256,937257.9739,980415.6919,985255.9448,983292.5045,944376.7224
3255,936107.8125,981066.3572,985322.5289,981867.0018,942875.6135
3254,935559.6272,981354.7847,983908.7635,982000.4203,940698.675
3253,935617.2084,979944.8238,981744.2614,980536.6425,938572.9052
3252,935398.3461,977745.1388,980689.9473,976948.1575,937025.5525
3251,934157.3164,976104.595,980372.1797,974678.0809,936171.9404
3250,932046.3482,974146.3303,979361.8785,975548.5744,935719.6068
3249,930047.239,970723.6292,977888.4552,976900.2289,934651.1255
3248,928761.3352,967565.3815,976655.1567,976298.7894,932582.6317
3247,928010.6898,966807.2962,975330.534,974949.7521,930438.4433
3246,927468.6662,967604.6935,973813.696,974378.7175,928465.9812
3245,926859.3301,967911.2805,972689.4375,973627.2716,925943.4762
3244,926257.583,966844.7666,971612.0561,971398.9492,923293.4693
3243,925830.3623,964631.0771,969502.2402,968157.6051,921840.0696
3242,924768.9801,962481.0169,966932.9058,965333.9117,921804.9107
3241,922019.2132,961337.5249,965796.0182,963979.7008,921981.2712
3240,918205.4754,960028.6201,966031.8955,963797.6214,920739.5004
3239,915521.6873,957082.2614,965557.4306,962804.2308,917702.2086
3238,915300.8516,953589.7648,963636.5638,959467.8881,914715.7781
3237,915865.5699,951359.8145,961349.7325,955449.1776,913588.0246
3236,914286.6772,950149.3198,959353.2103,953873.6494,913390.601
3235,910615.0693,949297.4785,957564.5533,954869.0714,912092.4563
3234,907581.8807,948966.0597,955780.7962,955420.7521,909900.9249
3233,906132.8895,948261.42,953774.293,953488.0235,908600.9818
3232,904586.754,946029.0129,951722.5245,949946.7502,908068.4623
3231,902046.3253,943130.1339,949479.0794,946607.455,906208.0297
3230,899902.4676,940692.72,946154.8753,944287.7864,902756.6912
3229,899292.9446,938550.0641,942395.1349,943013.2531,899940.1789
3228,898802.1967,936628.0463,940083.3322,942234.5808,898531.0358
3227,896552.1061,934680.044,938758.8005,940526.3294,896740.6109
3226,893155.2662,931703.7786,936624.7294,937063.8473,893623.188
3225,890157.118,927655.1172,933976.9785,933053.6867,890352.6463
3224,887470.2224,923596.2373,932004.8744,929785.6322,887979.0762
3223,884258.4908,920231.6568,930896.8463,927087.9997,886247.8582
3222,880156.5479,917970.5342,930352.1676,924953.9534,884425.7859
3221,875341.5532,916883.4986,929320.2366,923502.2277,882010.4025
3220,871265.6863,915973.6424,926340.5798,921511.1524,878854.8484
3219,869709.719,913959.8403,921364.4772,918383.4223,875106.6135
3218,869810.8896,910560.0202,915759.9749,915460.0515,871104.9202
3217,868584.3702,906384.0031,911230.1027,913026.3738,867376.1267
3216,865044.252,902334.5488,908869.5196,909604.1998,864462.4815
3215,861173.6573,899311.757,907646.6967,905199.0828,862570.7463
3214,858534.9252,897361.7743,905353.6972,901532.8629,861582.6116
3213,856373.4163,895144.9841,901626.2812,898917.9745,860947.5938
3212,853578.807,891840.8835,897435.0213,895721.8989,859142.9371
3211,850422.356,888594.2162,893247.4772,891361.3957,854792.5079
3210,847495.3517,885910.648,889915.8183,887760.9124,849290.2502
3209,844571.5143,882148.9158,887884.2764,885991.7369,845790.0073
3208,841263.8059,876845.9723,885339.5699,883601.7562,844483.1414
3207,837505.5456,872019.9197,881144.6446,878646.7834,842367.845
